Name;OUPath
Eurofunk Administratoren;
Systemadministratoren;
ILS-Template;
Server;OU=ILS-Template,
Clients;OU=ILS-Template,
Systembenutzer;OU=ILS-Template,
Services;OU=ILS-Template,
CONN-Server;OU=Server,OU=ILS-Template,
Linux-Server;OU=Server,OU=ILS-Template,
VMHOST-Server;OU=Server,OU=ILS-Template,
DOKU-Server;OU=Server,OU=ILS-Template,
IAPP-Server;OU=Server,OU=ILS-Template,
SEAD-Server;OU=Server,OU=ILS-Template,
Certificate-Server;OU=Server,OU=ILS-Template,
ELS-Clients;OU=Clients,OU=ILS-Template,
KOM-Clients;OU=Clients,OU=ILS-Template,
Dienstaufsichten;OU=Systembenutzer,OU=ILS-Template,
Disponenten;OU=Systembenutzer,OU=ILS-Template,
RDS-User;OU=Systembenutzer,OU=ILS-Template,
IDDS-UCiP;OU=Systembenutzer,OU=ILS-Template,
SB-Client;OU=Systembenutzer,OU=ILS-Template,
Sonstige;OU=Systembenutzer,OU=ILS-Template,
EMC-Clients;OU=KOM-Clients,OU=Clients,OU=ILS-Template,
IDDS-Clients;OU=KOM-Clients,OU=Clients,OU=ILS-Template,
EF-Test;OU=Disponenten,OU=Systembenutzer,OU=ILS-Template,
Feuerwehr;OU=Disponenten,OU=Systembenutzer,OU=ILS-Template,
Rettung;OU=Disponenten,OU=Systembenutzer,OU=ILS-Template,
