Target;DisplayName
dc=;_!-EF_Computer_Global_SetUserAccountPictures
dc=;_!-EF_Computer_Global_System-LAPS
dc=;_!-EF_Computer_Global_WinComponents-WindowsUpdate_SetSource
dc=;_!-EF_SecurityBaseline_Computer_Global_Securityoption-LocalPolicies-UserRightsAssignment_AllowRDP-EurofunkAdmins
dc=;_!-EF_SecurityBaseline_Computer_Global_ControlPanelSettings-LocalUsersGroups
dc=;_!-EF_SecurityBaseline_Computer_Global_MSEdge-Defaultbrowser
dc=;_!-EF_SecurityBaseline_Computer_Global_Securityoption-LocalPolicies-UserRightsAssignment_DenyLogon-DocusnapAndBackupUser
dc=;_!-EF_SecurityBaseline_Computer_Global_WinComponents-InternetExplorer
dc=;_!-EF_SecurityBaseline_Computer_Global_WinComponent-WinRM
dc=;EF_Computer_Global_Securityoption-PublicKeyPolicies-TrustedRootCAs
dc=;MS_SecurityBaseline_Computer_Global_ControlPanel-Personalization
dc=;CIS_SecurityBaseline_Computer_Global_GoogleChrome
dc=;EF_SecurityBaseline_Computer_Global_MicrosoftEdge
dc=;EF_SecurityBaseline_Computer_Global_MicrosoftOffice
dc=;MS_SecurityBaseline_Computer_Global_MSS
dc=;MS_SecurityBaseline_Computer_Global_MSSecurityGuide
dc=;MS_SecurityBaseline_Computer_Global_Network-DNSClient
dc=;MS_SecurityBaseline_Computer_Global_Network-Lanman
dc=;EF_SecurityBaseline_Computer_Global_Network-NetworkConnections
dc=;MS_SecurityBaseline_Computer_Global_Network-NetworkProvider
dc=;MS_SecurityBaseline_Computer_Global_Printers
dc=;MS_SecurityBaseline_Computer_Global_Securityoption-LocalPolicies-NetworkSecurity
dc=;MS_SecurityBaseline_Computer_Global_Securityoption-LocalPolicies-SecurityOptions
dc=;MS_SecurityBaseline_Computer_Global_Securityoption-LocalPolicies-UserRightAssignment
dc=;EF_SecurityBaseline_Computer_Global_Securityoption-PowershellAudit
dc=;EF_SecurityBaseline_Computer_Global_Securityoption-Systemservice-WinRM
dc=;EF_SecurityBaseline_Computer_Global_System
dc=;EF_SecurityBaseline_Computer_Global_System-CredentialDelegation
dc=;MS_SecurityBaseline_Computer_Global_System-EarlyLaunchAntimalware
dc=;MS_SecurityBaseline_Computer_Global_System-GroupPolicy
dc=;EF_SecurityBaseline_Computer_Global_System-KDC-Kerberos
dc=;MS_SecurityBaseline_Computer_Global_System-KernelDMAProtection
dc=;MS_SecurityBaseline_Computer_Global_System-LocalSecurityAuthority
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-AutoPlay
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-Biometrics-FacialFeatures
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-DeliveryOptimization
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-EventLog
dc=;EF_SecurityBaseline_Computer_Global_WinComponents-FileExplorer
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-InternetExplorer
dc=;EF_SecurityBaseline_Computer_Global_WinComponents-LocationAndSensors
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-MSDefenderAntiVir
dc=;EF_SecurityBaseline_Computer_Global_WinComponents-OneDrive
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-RemDeskSvc
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-RSS
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-Search
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-WinDefenderSmartScreen
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-WindowsInstaller
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-WindowsLogonOptions
dc=;MS_SecurityBaseline_Computer_Global_WinComponents-WinInkWorkspace
dc=;EF_SecurityBaseline_Computer_Global_WindowsFirewall
dc=;EF_SecurityBaseline_User_Global_Desktop-ActiveDirectory
dc=;EF_SecurityBaseline_User_Global_MicrosoftOffice
dc=;EF_SecurityBaseline_User_Global_WinComponents-WindowsCopilot
dc=;EF_SecurityBaseline_Default Domain Policy
ou=domain controllers;_!-EF_Computer_DC_System-WindowsTimeSvc
ou=domain controllers;EF_Computer_Client-Server-Cluster-DC_WinComponents-WindowsUpdate
ou=domain controllers;EF_Computer_Server-Cluster-DC_System-Server-Manager
ou=domain controllers;MS_SecurityBaseline_Computer_DC_System-DeviceGuard
ou=domain controllers;EF_SecurityBaseline_Default Domain Controllers Policy
ou=company-template;_!-EF_Computer_Client-Server-Cluster_System-WindowsTimeSvc
ou=clients,ou=company-template;_!-EF_Computer-User_Client-DomainUser_Desktop-SetWallpaper
ou=clients,ou=company-template;EF_Computer_Client_Registry-ACSettingIndex_DisableUSBEnergySaving
ou=clients,ou=company-template;EF_Computer_Client_Registry-ActivateWinPhotoViewer
ou=clients,ou=company-template;EF_Computer_Client_Registry-ProfilesDirectory
ou=clients,ou=company-template;EF_Computer_Client-Server-Cluster-DC_WinComponents-WindowsUpdate
ou=clients,ou=company-template;EF_SecurityBaseline_Computer_Client_ControlPanel
ou=clients,ou=company-template;EF_SecurityBaseline_Computer_Client_Network
ou=clients,ou=company-template;EF_SecurityBaseline_Computer_Client_Securityoption-LocalPolicies-Accounts
ou=clients,ou=company-template;EF_SecurityBaseline_Computer_Client_StartmenuTaskbar-Notifications
ou=clients,ou=company-template;EF_SecurityBaseline_Computer_Client_System
ou=clients,ou=company-template;EF_SecurityBaseline_Computer_Client_WinComponents
ou=clients,ou=company-template;EF_SecurityBaseline_Computer_Client-Server_Securityoption-AdvancedAuditing
ou=clients,ou=company-template;MS_SecurityBaseline_Computer_Client-Server_System-DeviceGuard
ou=clients,ou=company-template;MS_SecurityBaseline_Computer_Client-Server_System-Logon
ou=clients,ou=company-template;MS_SecurityBaseline_Computer_Client-Server_System-RPC
ou=clients,ou=company-template;OPT-EF_Computer_Client_NetSupportClientSettings
ou=clients,ou=company-template;OPT-EF_Computer_Client-Server_Registry_Spool-Printers-Directory-on-D
ou=server,ou=company-template;EF_Computer_Client-Server-Cluster-DC_WinComponents-WindowsUpdate
ou=server,ou=company-template;EF_Computer_Server-Cluster-DC_System-Server-Manager
ou=server,ou=company-template;EF_SecurityBaseline_Computer_Client-Server_Securityoption-AdvancedAuditing
ou=server,ou=company-template;MS_SecurityBaseline_Computer_Client-Server_System-DeviceGuard
ou=server,ou=company-template;MS_SecurityBaseline_Computer_Client-Server_System-Logon
ou=server,ou=company-template;MS_SecurityBaseline_Computer_Client-Server_System-RPC
ou=mgmt-server,ou=server,ou=company-template;OPT-EF_Computer_Server_SEAD_NetSupportManagerControl
ou=mgmt-server,ou=server,ou=company-template;OPT-EF_Computer_Client_NetSupportClientSettings
ou=vmhost-server,ou=server,ou=company-template;OPT-EF_SecurityBaseline_Computer_Cluster_Securityoption-SMB-Signature
ou=certificate-Server,ou=server,ou=company-template;EF_SecurityBaseline_Computer_ADCS_Securityoption-LocalPolicies-SecurityOptions
